,tagged_acc,values
543,ChelsaeWagner,1
544,CassanoAnthony,1
545,Uverse,1
546,khloekardashian,1
547,Mearlonfox13,1
548,nashvillescoop,1
549,LikleBludKlart,1
550,IamEnidColeslaw,1
551,Wallshark84,1
552,velsburylegg,1
553,hpapolo,1
554,AndrewBasstard,1
555,duolingo,1
556,superb_pat,1
557,AP_West,1
558,rach5060,1
559,GoldDustCowgirl,1
560,CallMeVanish,1
561,krneely,1
562,JAMoore224,1
563,heymadihayes,1
564,DavidAndSharp,1
565,OnlyInBOS,1
566,_Kristiannaxo,1
567,Thaila_xo,1
568,_jrichardd,1
569,TheRealGT4,1
570,PilsburyJoeBoy,1
571,WillowLove1,1
572,JustifiedFX,1
573,nataliezea,1
574,TVMcGee,1
575,kscmaghirang,1
576,tompycan,1
577,AdventureDub,1
578,MarkPavelich,1
579,calmedoctorhuey,1
580,KennedyNation,1
581,MrMarkFairhurst,1
582,TSAgov,1
583,Indians,1
584,neilwatkins05,1
585,elledodd,1
586,Cubs,1
587,RuStretch,1
588,Tquadah,1
589,kymeshawhite,1
590,Inc,1
591,MarlaTabaka,1
592,colonsuzan,1
593,takeayogabreak,1
594,blogbooktours,1
595,theiflist,1
596,_Dear_Leader_,1
597,Becca3129,1
598,ZJ10,1
599,Siothehunter32,1
600,jaymichaels13,1
601,Leighannadam,1
602,Michael5SOS,1
603,Calum5SOS,1
604,itsmarshallw,1
605,IWYarnFest,1
606,AlmostShawn,1
607,imcorinnemec,1
608,LumeneUS,1
609,JessiTomlinson,1
610,itsashleymorgan,1
611,tvtag,1
612,Dolphinsglow,1
613,InvincibleDuece,1
614,BigBang_CBS,1
615,CuocoSweeting,1
616,FCgoodnews,1
617,ChickfilA,1
618,sjonez204,1
619,LanaDelRey,1
620,SandalsResorts,1
621,itsmehonayy,1
622,dinalohan,1
623,lindsaylohan,1
624,Bentleyreal,1
625,Swoleuniversity,1
626,coreyxstone,1
627,koopiepoopie,1
628,AaronMcIntosh_0,1
629,ThePinkPistolOK,1
630,dfwairport,1
631,ReelVixen,1
632,PlymouthState,1
633,ksmith_007,1
634,mcuban,1
635,emilylhauser,1
636,ETrickett815,1
637,NewsChannel8,1
638,MikeConneen,1
639,serenashortcake,1
640,radiohead,1
641,thomyorke,1
642,JazEalexander,1
643,WDBJ7,1
644,The_Deeter,1
645,AlanSanchez,1
646,DonovanTroi,1
647,APadeken,1
648,phoebesmusic,1
649,jamesmaslow,1
650,sarahkpeck,1
651,princesss_bb,1
652,terra_nicole,1
653,getoneword,1
654,HaylaKartman,1
655,therealjuicyj,1
656,MyRecipeMagic,1
657,marklevinshow,1
658,meghugs,1
659,rockii96,1
660,MaryPapas2,1
661,vacuumkiller,1
662,OCFlowPromo,1
663,TYB_Jarvey,1
664,JNotha,1
665,Niki_J_Blige,1
666,cgutierrezz101,1
667,AZRogerNaylor,1
668,hannahvns,1
669,OriginalCindy_,1
670,jbones77,1
671,_Argento,1
672,LesMills,1
673,GetLesMills,1
674,ReillyAround,1
675,Not_Typical,1
676,JesusOfNaz316,1
677,meaganjacobsonn,1
678,ShaneNash94,1
679,LauraECPaul,1
680,PeterMorlow,1
681,boowup,1
682,tkamking,1
683,tylerleejones4,1
684,worsteditorever,1
685,Realadamkaufman,1
686,HumpdayHairNet,1
687,THEYOUNGKB,1
688,Don_Marcell,1
689,TheFive,1
690,ScottRude120,1
691,120Sports,1
692,HershelGreene1,1
693,IamStevenT,1
694,zorm,1
695,AaronJNS,1
696,MLB,1
697,OnlyOneSilletti,1
698,DWall_21,1
699,billnofi,1
700,Padres,1
701,KalynHarris1,1
702,NiGGiEMiNAJ,1
703,CVS_Extra,1
704,CoilaHodges,1
705,owenpallett,1
706,Haaileeyy7,1
707,BobsBurgersFOX,1
708,ehhhhmily,1
709,AaronHerman2,1
710,RealSimple,1
711,tor_casale,1
712,Katrin_Albert,1
713,_BritneeGunz,1
714,_TalyahAlesia,1
715,FoxNews,1
716,CoryVogelsberg,1
717,DerekHigdon1,1
718,rachel_koshy,1
719,JATOAviation,1
720,jcoleman328,1
721,ray_ban,1
722,channingtatum,1
723,lzoatkinson,1
724,hypeORL,1
725,wannabebeckham,1
726,orlandosentinel,1
727,theycallmejanay,1
728,ThorsSecret,1
729,onedirection,1
730,AngeloLPerez,1
731,rochae_04,1
732,tperez_3434,1
733,lightmalum,1
734,TomAdelsbach,1
735,SerinsSphere,1
736,cavs,1
737,chrisbrockman,1
738,delta_dc,1
739,TheCatchFence,1
740,AC360,1
741,iReekofSuccess,1
742,juliwithoutane,1
743,arman_dela,1
744,UptownAmbition,1
745,aalomelii,1
746,amaditalks,1
747,sydney_1515,1
748,elisalamia,1
749,AnookDotCom,1
750,MansonBriana,1
751,leevonperry69,1
752,gilmar_barrios,1
753,MaryJsDiary,1
754,TommyMilagro,1
755,coreywoodstempe,1
756,AnthonyHotels,1
757,kellysue,1
758,BRIANMBENDIS,1
759,samhumphries,1
760,mattfraction,1
761,MarkPacker,1
762,Jaclynhill,1
763,alan_lonewolf,1
764,bad_robot,1
765,osnapitzlyndsey,1
766,Johnnyboyyy904,1
767,AmandaDymek,1
768,mymomsagingr,1
769,Cinemax,1
770,ivanamilicevic,1
771,Cara__Miller,1
772,PostLandfill,1
773,PastorCLW,1
774,chels_corder,1
775,ChapStick,1
776,SumanRavuri,1
777,kingLorenzo911,1
778,GulfstreamPark,1
779,BryceMan80,1
780,RealGrumpyCat,1
781,DHenry52,1
782,Jessiceratsix,1
783,alexxssiss,1
784,ChaldeanCutie,1
785,TheUncurvable,1
786,KingAshari,1
787,Trenton_jones,1
788,The_Real_Kolby_,1
789,Lfm_xo,1
790,BTebo5,1
791,up,1
792,Adorn_Ambreezzy,1
793,gnix20,1
794,bronix86,1
795,LyndsNix,1
796,NZMoney88,1
797,winnie4ed,1
798,TriviumOfficial,1
799,TriviumPaolo,1
800,coreytrivium,1
801,matthewkheafy,1
802,MatMadiro,1
803,emilieeharris,1
804,ShanaBo_O,1
805,McKynnaLorraine,1
806,GabeLandeskog92,1
807,Avalanche,1
808,AmazonGoneBad,1
809,peta,1
810,peta2,1
811,MercyForAnimals,1
812,TryVeg,1
813,dsmy,1
814,garrett_h94,1
815,Skyys_The_Way,1
816,HayesGrier,1
817,aletamale_,1
818,ShiksaYisrael,1
819,WellsFargo,1
820,JeanChatzky,1
821,DvG_Profit,1
822,AyJayJay3,1
823,kalanisim55,1
824,Selenaa_suzette,1
825,jennylee2003,1
826,BPootah,1
827,Charmeleon_RR,1
828,OnionAdCzar,1
829,Bacardi,1
830,agalcw,1
831,nimmy_turner,1
832,yoursweetrani,1
833,Louis_Tomlinson,1
834,Real_Liam_Payne,1
835,zaynmalik,1
836,ZozeeBo,1
837,HNFrayre,1
838,charlalalenee,1
839,hiemmabaron,1
840,nickdougherty_,1
841,AveryHoover,1
842,isaacsmarie1983,1
843,TanteWillemijn,1
844,ConcertWeirdos,1
845,jasonfpereira,1
846,RonFriedman,1
847,FastCompany,1
848,espn,1
849,RebeccaTurnerRD,1
850,protagonist52,1
851,richardbranson,1
852,Austinflyskites,1
853,bRitBluhm,1
854,JHor247,1
855,mplatco,1
856,4twentyluck,1
857,Warchyld_ENT,1
858,s3lentz,1
859,thisoneisnot,1
860,johnny_cobra,1
861,LLMStallings,1
862,StallingsTX,1
863,JoJoMedhurst,1
864,jimjefferies,1
865,TiburonNaples,1
866,piedmontpark,1
867,TTC_Thoughts,1
868,petersarsgaard,1
869,Prettypixiecat,1
870,NoNameInIndy,1
871,GraceNoel27,1
872,DibartAPA2011,1
873,amahnke,1
874,Chandlerjr1984,1
875,dewey800s,1
876,KPCCofframp,1
877,Hall_Bruce,1
878,Reile_Talk,1
879,Yankees,1
880,MikeSadorf,1
881,LynessaJames,1
882,PSpowerup,1
883,SethDaigle1,1
884,SydneyKinman,1
885,ItsMidnightRed,1
886,ericsecharia,1
887,ColtonRudloff,1
888,anthonyladao,1
889,thomasaugusto,1
890,JoeyDiggsJr,1
891,carlyfornia18,1
892,Niny_Li,1
893,KateNasser,1
894,blf2014,1
895,call_me_TsC,1
896,sixfootfiveguy,1
897,SavvyElise__,1
898,Tamar_kali,1
899,anthelonious,1
900,lexxmoe,1
901,DemiNewell,1
902,CrumlinFuels,1
903,RachGraph,1
904,Brindleboxers,1
905,mccoyderek,1
906,urban_teacher,1
907,sarahdateechur,1
908,iamDrWill,1
909,LukeFurmanOU,1
910,Kroger,1
911,SimpleTruth4U,1
912,JefCaine,1
913,rickyfields,1
914,jgomez1446,1
915,Meowshawn_Lynch,1
916,cbetham,1
917,merylnyc,1
918,Leslieks,1
919,TheWallStBull,1
920,RayneHall,1
921,mayfairromance,1
922,ThunderBahl,1
923,goodhealth,1
924,Kdodo1741,1
925,dominos,1
926,stephanbugaj,1
927,charcoalalley,1
928,DailyAudioBible,1
929,Jawdann_,1
930,pleasetouch,1
931,ndh2014,1
932,DonateLifeToday,1
933,BradleyEichar,1
934,BossRockets,1
935,HeroMysterion,1
936,ClydeDonovan410,1
937,TFAW,1
938,cullenbunn,1
939,niK_IT,1
