,hashtag,values
824,Graceful,1
825,battleropes,1
826,theGameChanger,1
827,beautifulmind,1
828,Thedrunkening,1
829,TweetThisTuesday,1
830,sarcasm,1
831,rebel,1
832,livelarge,1
833,StJamesPlaindealer,1
834,stjamesnews,1
835,local,1
836,dads,1
837,Chicago,1
838,FEELSLIKEHEAVEN,1
839,GodWilling,1
840,NoRegrets,1
841,MillionDollars,1
842,WishfulThinking,1
843,Dreamer,1
844,Entrepreneur,1
845,BeBackSoon,1
846,1u,1
847,hamptonality,1
848,5K,1
849,newbierunners,1
850,LordsOfDogtown,1
851,veterans,1
852,FAILED,1
853,MediaLife,1
854,yucky,1
855,plexus,1
856,Journo,1
857,findgod,1
858,bacon,1
859,AllAboutMe,1
860,GettingOn,1
861,Buffy,1
862,buffythevampireslayer,1
863,seehowlongthislasts,1
864,BookNerdProbs,1
865,bookaddiction,1
866,DDNewYearSweeps,1
867,ParksandRec,1
868,thenewtriplethreat,1
869,smokefree,1
870,RETWEEET,1
871,TrendingNow,1
872,naps,1
873,allnapsallthetime,1
874,Changes,1
875,Fangirl,1
876,4life,1
877,support,1
878,getlazy2k15,1
879,cook,1
880,seafood,1
881,smiles,1
882,bibchat,1
883,vaping,1
884,vape,1
885,ecigs,1
886,thelist,1
887,nomorechew,1
888,KennedyCenterHonors,1
889,lifelessons,1
890,StayPositive,1
891,TheChallenge,1
892,BattleOfTheExes2,1
893,Homeland,1
894,nonprofit,1
895,wypf,1
896,donation,1
897,MakingADifference,1
898,Resolution,1
899,gymrat,1
900,LincolnCity,1
901,NewSeason,1
902,chickenlegs,1
903,DontSkipLegDay,1
904,FixSociety,1
905,AgentsofSHIELD,1
906,SucceedandProceed,1
907,getreal,1
908,almostdone,1
909,honesty,1
910,weightXozÌá2,1
911,selfie,1
912,kingdomhearts,1
913,mickey,1
914,exo,1
915,C25K,1
916,letsseehowthisends,1
917,NewYearsResolutionAsk,1
918,dedication,1
919,weightlossjourney,1
920,followme,1
921,BjorkItOut,1
922,Bjork,1
923,DoYou,1
924,chocolate,1
925,Jere,1
926,RandomThoughts,1
927,noshade,1
928,nobodiesbusiness,1
929,Remo,1
930,Drumkits,1
931,changeswillbemade,1
932,lmfao,1
933,deepthoughts,1
934,notabadidea,1
935,bday,1
936,hereicome,1
937,domoreart,1
938,noprocastination,1
939,gayproblems,1
940,fun,1
941,OOC,1
942,HappyNewYearEverybody,1
943,mightnothappen,1
944,checkoutmyvine,1
945,bc,1
946,i,1
947,sing,1
948,hailee,1
949,fat,1
950,fml,1
951,FatManProblems,1
952,GirlOnFire,1
953,HappyNewYearEve,1
954,HappyHumpDay,1
955,quitsmoking,1
956,mynewbackground,1
957,dancerprobs,1
958,dancertweets,1
959,auspol,1
960,startnow,1
961,worklife,1
962,havingitall,1
963,workingmoms,1
964,sticktoit,1
965,AirJordan,1
966,REWARD4MissingSocks,1
967,humblebrag,1
968,1for1,1
969,1and0,1
970,BITW,1
971,wednesdaywisdom,1
972,History,1
973,Marketing,1
974,MaterialCulture,1
975,KICresolutions,1
976,PunIntended,1
977,dsma,1
978,ourd,1
979,diabetes,1
980,2k15goals,1
981,GrumpKing,1
982,follow,1
983,submissive,1
984,FuelUpFridays,1
985,LeelahAlcorn,1
986,CarrieUnderwoodsLegs,1
987,youneverknow,1
988,FuelTheFire,1
989,WomensHealth,1
990,MyFavoriteFunnyGirl,1
991,Preds,1
992,newyorkcityrooftop,1
993,Math,1
994,maths,1
995,mathchat,1
996,iaedchat,1
997,Resolutions,1
998,LittleGarcia,1
999,amen,1
1000,partypooper,1
1001,pityparty,1
1002,gamers,1
1003,nerds,1
1004,dreamer,1
1005,StayAwwsome,1
1006,ErrrdayResolution,1
1007,livingforlove,1
1008,RebelHeart,1
1009,stayinghealthy,1
1010,quoteoftheday,1
1011,nofilter,1
1012,mindfulness,1
1013,emyth,1
1014,NewYea,1
1015,startuplife,1
1016,NewyearsResolutionNo,1
1017,milliondollarbabyTrans,1
1018,runsolution,1
1019,WordOfTheDay,1
1020,Significance,1
1021,purpose,1
1022,Leadership,1
1023,legacy,1
1024,Gym,1
1025,german,1
1026,judgmental,1
1027,canigetaamen,1
1028,Transit,1
1029,Bicycles,1
1030,ColoradoSprings,1
1031,BabySteps,1
1032,RobinKimmerer,1
1033,stories,1
1034,livelifehappy,1
1035,BerlinWall,1
1036,year,1
1037,grateful,1
1038,NewYearsRe,1
1039,ywnhnetwork,1
1040,smallbiz,1
1041,money,1
1042,becomingresponsible,1
1043,StupidPeople,1
1044,curestupidity,1
1045,Lifestyle,1
1046,Health,1
1047,dieting,1
1048,passion,1
1049,athlete,1
1050,influence,1
1051,strategy,1
1052,NewYearsResolutionPack,1
1053,godbless,1
1054,yougotthatright,1
1055,morehandwrittennotes,1
1056,oralhistory,1
1057,Run,1
1058,marathon,1
1059,facebook,1
1060,iphone,1
1061,virtualcleanup,1
1062,JimHarbaugh,1
1063,JustBecause,1
1064,Money,1
1065,NamTlknBout,1
1066,focusisme,1
1067,teacherproblems,1
1068,FamilyFirst,1
1069,IndieMusic,1
1070,Milk,1
1071,hunting,1
1072,dobro,1
1073,sneakers,1
1074,figfit,1
1075,letmehelpyou,1
1076,LiveitTeachit,1
1077,lovelife,1
1078,KenMasters,1
1079,grinding,1
1080,badcreditscore,1
1081,CrohnsDisease,1
1082,1080p,1
1083,agameofthrones,1
1084,TheOffice,1
1085,unfollow,1
1086,folloback,1
1087,follobackforfolloback,1
1088,languagelearning,1
1089,workplace,1
1090,moms,1
1091,vegan,1
1092,wellness,1
1093,seeya,1
1094,NikkiManaj,1
1095,storyofmylife,1
1096,truestory,1
1097,thoughtsfor2015,1
1098,YearsEndResolution,1
1099,Frozen,1
1100,soexcited,1
1101,partytime,1
1102,JavaScript,1
1103,socialmediaDone,1
1104,stoked,1
1105,Bible,1
1106,terminatorgenisys,1
1107,CSS,1
1108,twitterbootstrap,1
1109,HowIMetYourMother,1
1110,Hello2015,1
1111,ponies,1
1112,polo,1
1113,maybe,1
